
Récapitulatif de mes puissances atteintes en W

Date et heure de relève par le distributeur;Puissance atteinte (W);Nature de la donnée
07:00:00;1949;Réelle
06:30:00;1665;Réelle
06:00:00;1762;Réelle
05:30:00;1978;Réelle
05:00:00;1971;Réelle
04:30:00;2691;Réelle
04:00:00;2684;Réelle
03:30:00;2400;Réelle
03:00:00;2497;Réelle
02:30:00;2213;Réelle
02:00:00;2310;Réelle
01:30:00;2026;Réelle
01:00:00;2123;Réelle
00:30:00;2739;Réelle

23/01/2026;;
00:00:00;1905;Réelle
23:30:00;1921;Réelle
23:00:00;1914;Réelle
22:30:00;2530;Réelle
22:00:00;2627;Réelle
21:30:00;2343;Réelle
21:00:00;2440;Réelle
20:30:00;3056;Réelle
20:00:00;3153;Réelle
19:30:00;2869;Réelle
19:00:00;2966;Réelle
18:30:00;2682;Réelle
18:00:00;2675;Réelle
17:30:00;1595;Réelle
17:00:00;1588;Réelle
16:30:00;2204;Réelle
16:00:00;1401;Réelle
15:30:00;2017;Réelle
15:00:00;2114;Réelle
14:30:00;1830;Réelle
14:00:00;1927;Réelle
13:30:00;1643;Réelle
13:00:00;1740;Réelle
12:30:00;1456;Réelle
12:00:00;1449;Réelle
11:30:00;2169;Réelle
11:00:00;2162;Réelle
10:30:00;1878;Réelle
10:00:00;1975;Réelle
09:30:00;1691;Réelle
09:00:00;1788;Réelle
08:30:00;1504;Réelle
08:00:00;1601;Réelle
07:30:00;2217;Réelle
07:00:00;1414;Réelle
06:30:00;2030;Réelle
06:00:00;2023;Réelle
05:30:00;2343;Réelle
05:00:00;2336;Réelle
04:30:00;2052;Réelle
04:00:00;2149;Réelle
03:30:00;2765;Réelle
03:00:00;1962;Réelle
02:30:00;2578;Réelle
02:00:00;2675;Réelle
01:30:00;2391;Réelle
01:00:00;2488;Réelle
00:30:00;2204;Réelle

22/01/2026;;
00:00:00;2270;Réelle
23:30:00;2182;Réelle
23:00:00;2279;Réelle
22:30:00;2895;Réelle
22:00:00;2992;Réelle
21:30:00;2708;Réelle
21:00:00;2805;Réelle
20:30:00;2521;Réelle
20:00:00;2514;Réelle
19:30:00;2334;Réelle
19:00:00;2327;Réelle
18:30:00;2943;Réelle
18:00:00;3040;Réelle
17:30:00;1856;Réelle
17:00:00;1953;Réelle
16:30:00;1669;Réelle
16:00:00;1766;Réelle
15:30:00;1482;Réelle
15:00:00;1579;Réelle
14:30:00;2195;Réelle
14:00:00;2188;Réelle
13:30:00;2008;Réelle
13:00:00;2001;Réelle
12:30:00;1717;Réelle
12:00:00;1814;Réelle
11:30:00;1530;Réelle
11:00:00;1627;Réelle
10:30:00;2243;Réelle
10:00:00;1440;Réelle
09:30:00;2056;Réelle
09:00:00;2153;Réelle
08:30:00;1869;Réelle
08:00:00;1862;Réelle
07:30:00;1682;Réelle
07:00:00;1675;Réelle
06:30:00;2291;Réelle
06:00:00;1488;Réelle
05:30:00;2604;Réelle
05:00:00;2701;Réelle
04:30:00;2417;Réelle
04:00:00;2514;Réelle
03:30:00;2230;Réelle
03:00:00;2327;Réelle
02:30:00;2043;Réelle
02:00:00;2036;Réelle
01:30:00;2756;Réelle
01:00:00;2749;Réelle
00:30:00;2465;Réelle

21/01/2026;;
00:00:00;2635;Réelle
23:30:00;1647;Réelle
23:00:00;1744;Réelle
22:30:00;2360;Réelle
22:00:00;2457;Réelle
21:30:00;3073;Réelle
21:00:00;3066;Réelle
20:30:00;2886;Réelle
20:00:00;2879;Réelle
19:30:00;2595;Réelle
19:00:00;2692;Réelle
18:30:00;2408;Réelle
18:00:00;2505;Réelle
17:30:00;2221;Réelle
17:00:00;1418;Réelle
16:30:00;2034;Réelle
16:00:00;2131;Réelle
15:30:00;1847;Réelle
15:00:00;1840;Réelle
14:30:00;1660;Réelle
14:00:00;1653;Réelle
13:30:00;2269;Réelle
13:00:00;1466;Réelle
12:30:00;2082;Réelle
12:00:00;2179;Réelle
11:30:00;1895;Réelle
11:00:00;1992;Réelle
10:30:00;1708;Réelle
10:00:00;1805;Réelle
09:30:00;1521;Réelle
09:00:00;1514;Réelle
08:30:00;2234;Réelle
08:00:00;2227;Réelle
07:30:00;1943;Réelle
07:00:00;2040;Réelle
06:30:00;1756;Réelle
06:00:00;1853;Réelle
05:30:00;2069;Réelle
05:00:00;2166;Réelle
04:30:00;2782;Réelle
04:00:00;1979;Réelle
03:30:00;2595;Réelle
03:00:00;2588;Réelle
02:30:00;2408;Réelle
02:00:00;2401;Réelle
01:30:00;2117;Réelle
01:00:00;2214;Réelle
00:30:00;1930;Réelle

20/01/2026;;
00:00:00;1996;Réelle
23:30:00;2012;Réelle
23:00:00;2005;Réelle
22:30:00;2725;Réelle
22:00:00;2718;Réelle
21:30:00;2434;Réelle
21:00:00;2531;Réelle
20:30:00;3147;Réelle
20:00:00;2344;Réelle
19:30:00;2960;Réelle
19:00:00;3057;Réelle
18:30:00;2773;Réelle
18:00:00;2870;Réelle
17:30:00;1686;Réelle
17:00:00;1679;Réelle
16:30:00;1499;Réelle
16:00:00;1492;Réelle
15:30:00;2108;Réelle
15:00:00;2205;Réelle
14:30:00;1921;Réelle
14:00:00;2018;Réelle
13:30:00;1734;Réelle
13:00:00;1831;Réelle
12:30:00;1547;Réelle
12:00:00;1644;Réelle
11:30:00;2260;Réelle
11:00:00;2253;Réelle
10:30:00;2073;Réelle
10:00:00;2066;Réelle
09:30:00;1782;Réelle
09:00:00;1879;Réelle
08:30:00;1595;Réelle
08:00:00;1692;Réelle
07:30:00;1408;Réelle
07:00:00;1505;Réelle
06:30:00;2121;Réelle
06:00:00;2218;Réelle
05:30:00;2434;Réelle
05:00:00;2531;Réelle
04:30:00;2247;Réelle
04:00:00;2240;Réelle
03:30:00;2060;Réelle
03:00:00;2053;Réelle
02:30:00;2669;Réelle
02:00:00;2766;Réelle
01:30:00;2482;Réelle
01:00:00;2579;Réelle
00:30:00;2295;Réelle

19/01/2026;;
00:00:00;2361;Réelle
23:30:00;1477;Réelle
23:00:00;1470;Réelle
22:30:00;2986;Réelle
22:00:00;3083;Réelle
21:30:00;2799;Réelle
21:00:00;2896;Réelle
20:30:00;2612;Réelle
20:00:00;2709;Réelle
19:30:00;2425;Réelle
19:00:00;2522;Réelle
18:30:00;3138;Réelle
18:00:00;3131;Réelle
17:30:00;2051;Réelle
17:00:00;2044;Réelle
16:30:00;1760;Réelle
16:00:00;1857;Réelle
15:30:00;1573;Réelle
15:00:00;1670;Réelle
14:30:00;2286;Réelle
14:00:00;1483;Réelle
13:30:00;2099;Réelle
13:00:00;2196;Réelle
12:30:00;1912;Réelle
12:00:00;1905;Réelle
11:30:00;1725;Réelle
11:00:00;1718;Réelle
10:30:00;1434;Réelle
10:00:00;1531;Réelle
09:30:00;2147;Réelle
09:00:00;2244;Réelle
08:30:00;1960;Réelle
08:00:00;2057;Réelle
07:30:00;1773;Réelle
07:00:00;1870;Réelle
06:30:00;1586;Réelle
06:00:00;1579;Réelle
05:30:00;2799;Réelle
05:00:00;2792;Réelle
04:30:00;2508;Réelle
04:00:00;2605;Réelle
03:30:00;2321;Réelle
03:00:00;2418;Réelle
02:30:00;2134;Réelle
02:00:00;2231;Réelle
01:30:00;1947;Réelle
01:00:00;2044;Réelle
00:30:00;2660;Réelle

18/01/2026;;
00:00:00;2726;Réelle
23:30:00;1738;Réelle
23:00:00;1835;Réelle
22:30:00;2451;Réelle
22:00:00;2548;Réelle
21:30:00;3164;Réelle
21:00:00;2361;Réelle
20:30:00;2977;Réelle
20:00:00;2970;Réelle
19:30:00;2790;Réelle
19:00:00;2783;Réelle
18:30:00;2499;Réelle
18:00:00;2596;Réelle
17:30:00;1412;Réelle
17:00:00;1509;Réelle
16:30:00;2125;Réelle
16:00:00;2222;Réelle
15:30:00;1938;Réelle
15:00:00;2035;Réelle
14:30:00;1751;Réelle
14:00:00;1848;Réelle
13:30:00;1564;Réelle
13:00:00;1557;Réelle
12:30:00;2277;Réelle
12:00:00;2270;Réelle
11:30:00;1986;Réelle
11:00:00;2083;Réelle
10:30:00;1799;Réelle
10:00:00;1896;Réelle
09:30:00;1612;Réelle
09:00:00;1709;Réelle
08:30:00;1425;Réelle
08:00:00;1522;Réelle
07:30:00;2138;Réelle
07:00:00;2131;Réelle
06:30:00;1951;Réelle
06:00:00;1944;Réelle
05:30:00;2160;Réelle
05:00:00;2257;Réelle
04:30:00;1973;Réelle
04:00:00;2070;Réelle
03:30:00;2686;Réelle
03:00:00;2783;Réelle
02:30:00;2499;Réelle
02:00:00;2596;Réelle
01:30:00;2312;Réelle
01:00:00;2305;Réelle
00:30:00;2125;Réelle

17/01/2026;;
00:00:00;2191;Réelle
23:30:00;2103;Réelle
23:00:00;2200;Réelle
22:30:00;2816;Réelle
22:00:00;2913;Réelle
21:30:00;2629;Réelle
21:00:00;2622;Réelle
20:30:00;2442;Réelle
20:00:00;2435;Réelle
19:30:00;3051;Réelle
19:00:00;3148;Réelle
18:30:00;2864;Réelle
18:00:00;2961;Réelle
17:30:00;1777;Réelle
17:00:00;1874;Réelle
16:30:00;1590;Réelle
16:00:00;1687;Réelle
15:30:00;1403;Réelle
15:00:00;2296;Réelle
14:30:00;2116;Réelle
14:00:00;2109;Réelle
13:30:00;1825;Réelle
13:00:00;1922;Réelle
12:30:00;1638;Réelle
12:00:00;1735;Réelle
11:30:00;1451;Réelle
11:00:00;1548;Réelle
10:30:00;2164;Réelle
10:00:00;2261;Réelle
09:30:00;1977;Réelle
09:00:00;1970;Réelle
08:30:00;1790;Réelle
08:00:00;1783;Réelle
07:30:00;1499;Réelle
07:00:00;1596;Réelle
06:30:00;2212;Réelle
06:00:00;1409;Réelle
05:30:00;2525;Réelle
05:00:00;2622;Réelle
04:30:00;2338;Réelle
04:00:00;2435;Réelle
03:30:00;2151;Réelle
03:00:00;2144;Réelle
02:30:00;1964;Réelle
02:00:00;1957;Réelle
01:30:00;2573;Réelle
01:00:00;2670;Réelle
00:30:00;2386;Réelle

16/01/2026;;
00:00:00;2556;Réelle
23:30:00;1568;Réelle
23:00:00;1665;Réelle
22:30:00;3181;Réelle
22:00:00;3174;Réelle
21:30:00;2890;Réelle
21:00:00;2987;Réelle
20:30:00;2703;Réelle
20:00:00;2800;Réelle
19:30:00;2516;Réelle
19:00:00;2613;Réelle
18:30:00;2329;Réelle
18:00:00;2426;Réelle
17:30:00;2142;Réelle
17:00:00;2239;Réelle
16:30:00;1955;Réelle
16:00:00;1948;Réelle
15:30:00;1768;Réelle
15:00:00;1761;Réelle
14:30:00;1477;Réelle
14:00:00;1574;Réelle
13:30:00;2190;Réelle
13:00:00;2287;Réelle
12:30:00;2003;Réelle
12:00:00;2100;Réelle
11:30:00;1816;Réelle
11:00:00;1913;Réelle
10:30:00;1629;Réelle
10:00:00;1622;Réelle
09:30:00;1442;Réelle
09:00:00;1435;Réelle
08:30:00;2051;Réelle
08:00:00;2148;Réelle
07:30:00;1864;Réelle
07:00:00;1961;Réelle
06:30:00;1677;Réelle
06:00:00;1774;Réelle
05:30:00;1990;Réelle
05:00:00;2087;Réelle
04:30:00;2703;Réelle
04:00:00;2696;Réelle
03:30:00;2516;Réelle
03:00:00;2509;Réelle
02:30:00;2225;Réelle
02:00:00;2322;Réelle
01:30:00;2038;Réelle
01:00:00;2135;Réelle
00:30:00;2751;Réelle

15/01/2026;;
00:00:00;1917;Réelle
23:30:00;1933;Réelle
23:00:00;1926;Réelle
22:30:00;2542;Réelle
22:00:00;2639;Réelle
21:30:00;2355;Réelle
21:00:00;2452;Réelle
20:30:00;3068;Réelle
20:00:00;3165;Réelle
19:30:00;2881;Réelle
19:00:00;2978;Réelle
18:30:00;2694;Réelle
18:00:00;2687;Réelle
17:30:00;1607;Réelle
17:00:00;1600;Réelle
16:30:00;2216;Réelle
16:00:00;1413;Réelle
15:30:00;2029;Réelle
15:00:00;2126;Réelle
14:30:00;1842;Réelle
14:00:00;1939;Réelle
13:30:00;1655;Réelle
13:00:00;1752;Réelle
12:30:00;1468;Réelle
12:00:00;1461;Réelle
11:30:00;2181;Réelle
11:00:00;2174;Réelle
10:30:00;1890;Réelle
10:00:00;1987;Réelle
09:30:00;1703;Réelle
09:00:00;1800;Réelle
08:30:00;1516;Réelle
08:00:00;1613;Réelle
07:30:00;2229;Réelle
07:00:00;1426;Réelle
06:30:00;2042;Réelle
06:00:00;2035;Réelle
05:30:00;2355;Réelle
05:00:00;2348;Réelle
04:30:00;2064;Réelle
04:00:00;2161;Réelle
03:30:00;2777;Réelle
03:00:00;1974;Réelle
02:30:00;2590;Réelle
02:00:00;2687;Réelle
01:30:00;2403;Réelle
01:00:00;2500;Réelle
00:30:00;2216;Réelle

14/01/2026;;
00:00:00;2282;Réelle
23:30:00;2194;Réelle
23:00:00;2291;Réelle
22:30:00;2907;Réelle
22:00:00;3004;Réelle
21:30:00;2720;Réelle
21:00:00;2817;Réelle
20:30:00;2533;Réelle
20:00:00;2630;Réelle
19:30:00;2346;Réelle
19:00:00;2339;Réelle
18:30:00;3059;Réelle
18:00:00;3052;Réelle
17:30:00;1868;Réelle
17:00:00;1965;Réelle
16:30:00;1681;Réelle
16:00:00;1778;Réelle
15:30:00;1494;Réelle
15:00:00;1591;Réelle
14:30:00;2207;Réelle
14:00:00;1404;Réelle
13:30:00;2020;Réelle
13:00:00;2013;Réelle
12:30:00;1833;Réelle
12:00:00;1826;Réelle
11:30:00;1542;Réelle
11:00:00;1639;Réelle
10:30:00;2255;Réelle
10:00:00;1452;Réelle
09:30:00;2068;Réelle
09:00:00;2165;Réelle
08:30:00;1881;Réelle
08:00:00;1978;Réelle
07:30:00;1694;Réelle
07:00:00;1687;Réelle
06:30:00;1507;Réelle
06:00:00;1500;Réelle
05:30:00;2616;Réelle
05:00:00;2713;Réelle
04:30:00;2429;Réelle
04:00:00;2526;Réelle
03:30:00;2242;Réelle
03:00:00;2339;Réelle
02:30:00;2055;Réelle
02:00:00;2152;Réelle
01:30:00;2768;Réelle
01:00:00;2761;Réelle
00:30:00;2581;Réelle

13/01/2026;;
00:00:00;2647;Réelle
23:30:00;1659;Réelle
23:00:00;1756;Réelle
22:30:00;2372;Réelle
22:00:00;2469;Réelle
21:30:00;3085;Réelle
21:00:00;3078;Réelle
20:30:00;2898;Réelle
20:00:00;2891;Réelle
19:30:00;2607;Réelle
19:00:00;2704;Réelle
18:30:00;2420;Réelle
18:00:00;2517;Réelle
17:30:00;2233;Réelle
17:00:00;1430;Réelle
16:30:00;2046;Réelle
16:00:00;2143;Réelle
15:30:00;1859;Réelle
15:00:00;1852;Réelle
14:30:00;1672;Réelle
14:00:00;1665;Réelle
13:30:00;2281;Réelle
13:00:00;1478;Réelle
12:30:00;2094;Réelle
12:00:00;2191;Réelle
11:30:00;1907;Réelle
11:00:00;2004;Réelle
10:30:00;1720;Réelle
10:00:00;1817;Réelle
09:30:00;1533;Réelle
09:00:00;1526;Réelle
08:30:00;2246;Réelle
08:00:00;2239;Réelle
07:30:00;1955;Réelle
07:00:00;2052;Réelle
06:30:00;1768;Réelle
06:00:00;1865;Réelle
05:30:00;2081;Réelle
05:00:00;2178;Réelle
04:30:00;2794;Réelle
04:00:00;1991;Réelle
03:30:00;2607;Réelle
03:00:00;2600;Réelle
02:30:00;2420;Réelle
02:00:00;2413;Réelle
01:30:00;2129;Réelle
01:00:00;2226;Réelle
00:30:00;1942;Réelle

12/01/2026;;
00:00:00;2112;Réelle
23:30:00;2024;Réelle
23:00:00;2121;Réelle
22:30:00;2737;Réelle
22:00:00;2730;Réelle
21:30:00;2550;Réelle
21:00:00;2543;Réelle
20:30:00;3159;Réelle
20:00:00;2356;Réelle
19:30:00;2972;Réelle
19:00:00;3069;Réelle
18:30:00;2785;Réelle
18:00:00;2882;Réelle
17:30:00;1698;Réelle
17:00:00;1795;Réelle
16:30:00;1511;Réelle
16:00:00;1504;Réelle
15:30:00;2224;Réelle
15:00:00;2217;Réelle
14:30:00;1933;Réelle
14:00:00;2030;Réelle
13:30:00;1746;Réelle
13:00:00;1843;Réelle
12:30:00;1559;Réelle
12:00:00;1656;Réelle
11:30:00;2272;Réelle
11:00:00;1469;Réelle
10:30:00;2085;Réelle
10:00:00;2078;Réelle
09:30:00;1898;Réelle
09:00:00;1891;Réelle
08:30:00;1607;Réelle
08:00:00;1704;Réelle
07:30:00;1420;Réelle
07:00:00;1517;Réelle
06:30:00;2133;Réelle
06:00:00;2230;Réelle
05:30:00;2446;Réelle
05:00:00;2543;Réelle
04:30:00;2259;Réelle
04:00:00;2252;Réelle
03:30:00;2072;Réelle
03:00:00;2065;Réelle
02:30:00;2681;Réelle
02:00:00;2778;Réelle
01:30:00;2494;Réelle
01:00:00;2591;Réelle
00:30:00;2307;Réelle

11/01/2026;;
00:00:00;2373;Réelle
23:30:00;1489;Réelle
23:00:00;1482;Réelle
22:30:00;2998;Réelle
22:00:00;3095;Réelle
21:30:00;2811;Réelle
21:00:00;2908;Réelle
20:30:00;2624;Réelle
20:00:00;2721;Réelle
19:30:00;2437;Réelle
19:00:00;2534;Réelle
18:30:00;3150;Réelle
18:00:00;3143;Réelle
17:30:00;2063;Réelle
17:00:00;2056;Réelle
16:30:00;1772;Réelle
16:00:00;1869;Réelle
15:30:00;1585;Réelle
15:00:00;1682;Réelle
14:30:00;2298;Réelle
14:00:00;1495;Réelle
13:30:00;2111;Réelle
13:00:00;2208;Réelle
12:30:00;1924;Réelle
12:00:00;1917;Réelle
11:30:00;1737;Réelle
11:00:00;1730;Réelle
10:30:00;1446;Réelle
10:00:00;1543;Réelle
09:30:00;2159;Réelle
09:00:00;2256;Réelle
08:30:00;1972;Réelle
08:00:00;2069;Réelle
07:30:00;1785;Réelle
07:00:00;1882;Réelle
06:30:00;1598;Réelle
06:00:00;1591;Réelle
05:30:00;1911;Réelle
05:00:00;1904;Réelle
04:30:00;2520;Réelle
04:00:00;2617;Réelle
03:30:00;2333;Réelle
03:00:00;2430;Réelle
02:30:00;2146;Réelle
02:00:00;2243;Réelle
01:30:00;1959;Réelle
01:00:00;2056;Réelle
00:30:00;2672;Réelle

10/01/2026;;
00:00:00;2738;Réelle
23:30:00;1750;Réelle
23:00:00;1847;Réelle
22:30:00;2463;Réelle
22:00:00;2560;Réelle
21:30:00;3176;Réelle
21:00:00;2373;Réelle
20:30:00;2989;Réelle
20:00:00;3086;Réelle
19:30:00;2802;Réelle
19:00:00;2795;Réelle
18:30:00;2615;Réelle
18:00:00;2608;Réelle
17:30:00;1424;Réelle
17:00:00;1521;Réelle
16:30:00;2137;Réelle
16:00:00;2234;Réelle
